X,Y
1.048910347486943095e+02,-3.039953689438460227e+00
1.048871796456961221e+02,-3.039989477874546431e+00
1.048889611300804461e+02,-3.039999562796566579e+00
1.048887653885340399e+02,-3.040027486264794021e+00
1.048902837155810062e+02,-3.040024131797089080e+00
1.048874804116574353e+02,-3.040105869221132462e+00
1.048886820851891315e+02,-3.040141808178915994e+00
1.048899007844233893e+02,-3.040136548105793590e+00
1.048883989430831036e+02,-3.040142149225556700e+00
1.048895205360679057e+02,-3.040154709742687089e+00
1.048883964698793960e+02,-3.040226360641738346e+00
1.048886741606141584e+02,-3.040228480793592425e+00
1.048881859271346428e+02,-3.040272037567636865e+00
1.048873574901067798e+02,-3.040335448446406019e+00
1.048883963398741201e+02,-3.040313106809508170e+00
1.048898398795528237e+02,-3.040340843558540396e+00
1.048886015457939465e+02,-3.040342513949518377e+00
1.048886736506434829e+02,-3.040387376107884787e+00
1.048895847463853954e+02,-3.040445178094782985e+00
1.048903581458471166e+02,-3.040459553295692618e+00
1.048882516966172744e+02,-3.040467335825179696e+00
1.048879727901000365e+02,-3.040471338850541994e+00
1.048878306935559692e+02,-3.040478076533126739e+00
1.048883212974328103e+02,-3.040501178909058577e+00
1.048875521524778804e+02,-3.040553534098605848e+00
1.048883213317245833e+02,-3.040588191204897317e+00
1.048876250807377062e+02,-3.040591088532358821e+00
1.048881912141028891e+02,-3.040599988954868049e+00
1.048878317168612853e+02,-3.040634352304070642e+00
1.048885371212598017e+02,-3.040630268429894478e+00
1.048897827395327624e+02,-3.040635084781554198e+00
1.048887550136484350e+02,-3.040652631767534420e+00
1.048880440189438730e+02,-3.040675820487556358e+00
1.048874692109188373e+02,-3.040680150941090787e+00
1.048893079180842562e+02,-3.040684630316430326e+00
1.048897188109779108e+02,-3.040677914231379120e+00
1.048899068296201449e+02,-3.040701432727070497e+00
1.048876914883054212e+02,-3.040715280361276474e+00
1.048897168714621273e+02,-3.040759619583440543e+00
1.048898497187123269e+02,-3.040750852222457112e+00
1.048879713489964871e+02,-3.040796117269947807e+00
1.048881121855373095e+02,-3.040800591126356256e+00
1.048872656467257514e+02,-3.040801118594389063e+00
1.048874786149303020e+02,-3.040842162336986121e+00
1.048873306617051071e+02,-3.040838477687026753e+00
1.048871243713063279e+02,-3.040883772598465207e+00
1.048898548234992631e+02,-3.040901169867046061e+00
1.048878993402664577e+02,-3.040918611082369161e+00
1.048902876731213780e+02,-3.040915709073638062e+00
1.048888863614154872e+02,-3.040923512079770408e+00
1.048891669357406471e+02,-3.040925489565195594e+00
1.048889524779067841e+02,-3.040967019262641013e+00
1.048902822542278273e+02,-3.040992988447291268e+00
1.048883166343390059e+02,-3.041004894839399508e+00
1.048869067093822736e+02,-3.041011503929587523e+00
1.048885301836445194e+02,-3.041035330133469827e+00
1.048910309512534837e+02,-3.041016205225320235e+00
1.048883915301234424e+02,-3.041044530200094798e+00
1.048892373207787472e+02,-3.041047568320569550e+00
1.048872659417437632e+02,-3.041049147520077156e+00
1.048885860981462912e+02,-3.041082449591810288e+00
1.048890228081045279e+02,-3.041088142947589557e+00
1.048898460480470050e+02,-3.041069469964095440e+00
1.048869188616443893e+02,-3.041089015662599593e+00
1.048897903122680049e+02,-3.041116944373765563e+00
1.048900925415250924e+02,-3.041144696086501398e+00
1.048891619015525976e+02,-3.041161650011025230e+00
1.048884624546039390e+02,-3.041159775595094317e+00
1.048886091160583476e+02,-3.041170235951143219e+00
1.048904759345191593e+02,-3.041182891052196080e+00
1.048881072619734738e+02,-3.041204151669050226e+00
1.048875417089623028e+02,-3.041211633400630276e+00
1.048887195616379131e+02,-3.041223257847983863e+00
1.048866270407303887e+02,-3.041253092947285186e+00
1.048871932623842014e+02,-3.041255090355710955e+00
1.048868361768695650e+02,-3.041297525731808005e+00
1.048876831217413894e+02,-3.041294476549901926e+00
1.048897218640569236e+02,-3.041323761415547722e+00
1.048871922269048298e+02,-3.041338201933552199e+00
1.048910338396771209e+02,-3.041340856923979707e+00
1.048896564689502497e+02,-3.041369348507668491e+00
1.048871209365998141e+02,-3.041376405036353869e+00
1.048899733772912413e+02,-3.041380329250673586e+00
1.048883264520546987e+02,-3.041417092177710835e+00
1.048889557582371594e+02,-3.041450737388238679e+00
1.048878293048499728e+02,-3.041455165887001488e+00
1.048904152971587962e+02,-3.041464135983674044e+00
1.048893062197141433e+02,-3.041489461375478598e+00
1.048881781818481329e+02,-3.041500731908759914e+00
1.048878974367777914e+02,-3.041497025627393214e+00
1.048883222197445946e+02,-3.041499609744872767e+00
1.048908032833094666e+02,-3.041521426960863916e+00
1.048893758341539382e+02,-3.041527902719520338e+00
1.048895130979850165e+02,-3.041530246212646116e+00
1.048897197873627221e+02,-3.041568095996569188e+00
1.048905982106132910e+02,-3.041574725990823236e+00
1.048903577694706257e+02,-3.041603539543655366e+00
1.048876881539270016e+02,-3.041622450514628540e+00
1.048886729042899759e+02,-3.041614907854055083e+00
1.048868339470890021e+02,-3.041618320174353851e+00
1.048879706255405466e+02,-3.041623563718801382e+00
1.048881079952380446e+02,-3.041623676941242138e+00
1.048897230249353925e+02,-3.041653090685562777e+00
1.048893100076488594e+02,-3.041653851925790519e+00
1.048881810910310151e+02,-3.041663224774671992e+00
1.048897138239102134e+02,-3.041776847819093632e+00
1.048884659066500973e+02,-3.041898243765378318e+00
1.048873986102458105e+02,-3.041944532471118290e+00
1.048885316496540554e+02,-3.041940030072419532e+00
1.048868363020993542e+02,-3.041948421587216789e+00
1.048876179402557369e+02,-3.041986743614863098e+00
1.048893058326872421e+02,-3.041973898768846052e+00
1.048881878682334161e+02,-3.041988146809456950e+00
1.048900714328188997e+02,-3.042000507085356631e+00
1.048892258348913629e+02,-3.042009793412533636e+00
1.048908397198000699e+02,-3.042036467297858149e+00
1.048891572884891872e+02,-3.042052564128622461e+00
1.048874771163454085e+02,-3.042064543671861632e+00
1.048891543063359819e+02,-3.042142616333054939e+00
1.048907015160507257e+02,-3.042125515773160593e+00
1.048898621319427065e+02,-3.042129636705338758e+00
1.048871915550034117e+02,-3.042157523615095727e+00
1.048877506074027082e+02,-3.042147193465607025e+00
1.048905011552826494e+02,-3.042164797630643847e+00
1.048906282095771019e+02,-3.042169741802708494e+00
1.048907699959712829e+02,-3.042166687905435207e+00
1.048885464603778672e+02,-3.042173187798668632e+00
1.048872653054106934e+02,-3.042197487215904772e+00
1.048901499531167900e+02,-3.042204861777430658e+00
1.048881834254243586e+02,-3.042227548930404257e+00
1.048896637153299309e+02,-3.042258172599935140e+00
1.048900665516665640e+02,-3.042252326097078186e+00
1.048882520015848030e+02,-3.042276232330453301e+00
1.048890890421905624e+02,-3.042271449617224732e+00
1.048902807615203443e+02,-3.042294655239303758e+00
1.048872662737174011e+02,-3.042282238206222456e+00
1.048876186259347634e+02,-3.042314318193581002e+00
1.048877573117141964e+02,-3.042317724103076326e+00
1.048902078278692471e+02,-3.042331297914559585e+00
1.048906244964398411e+02,-3.042328614467988857e+00
1.048883906172871292e+02,-3.042349001544028653e+00
1.048875414117326414e+02,-3.042356980830480673e+00
1.048881860725150972e+02,-3.042391013287375046e+00
1.048908392276815249e+02,-3.042371840224898705e+00
1.048883237094509440e+02,-3.042393439386466891e+00
1.048873311339554419e+02,-3.042405459483599195e+00
1.048903467579871460e+02,-3.042413614350861994e+00
1.048897958678257112e+02,-3.042419773301163310e+00
1.048886801180934754e+02,-3.042428754183887030e+00
1.048876886726291673e+02,-3.042439157258074456e+00
1.048869775418691717e+02,-3.042447140494907387e+00
1.048905562221512895e+02,-3.042455516723258757e+00
1.048901377986682064e+02,-3.042453524404752141e+00
1.048867693636054526e+02,-3.042484366955969133e+00
1.048873313774286800e+02,-3.042487693756170675e+00
1.048876096269785592e+02,-3.042485514314258843e+00
1.048910441828778914e+02,-3.042492070694775119e+00
1.048875465713618951e+02,-3.042525951753201952e+00
1.048882446037492713e+02,-3.042518694981726224e+00
1.048902804437153122e+02,-3.042540691509229234e+00
1.048883151882135820e+02,-3.042558961162844966e+00
1.048878958055430246e+02,-3.042556780041832720e+00
1.048873289854524131e+02,-3.042573425498079409e+00
1.048900679462065852e+02,-3.042579011967692537e+00
1.048893728879551333e+02,-3.042587351141694985e+00
1.048897982269903792e+02,-3.042588084291540262e+00
1.048868340282989351e+02,-3.042606862249108701e+00
1.048878238604822855e+02,-3.042604483430745521e+00
1.048908498221852312e+02,-3.042614479280033368e+00
1.048881479622546351e+02,-3.042629315231261788e+00
1.048895171496877765e+02,-3.042666183532657609e+00
1.048900728380177583e+02,-3.042658582202910189e+00
1.048897955737904368e+02,-3.042662611117469496e+00
1.048883950712419448e+02,-3.042682470559286756e+00
1.048894413553589402e+02,-3.042704029584701875e+00
1.048901463073690650e+02,-3.042701962522095460e+00
1.048884591858566182e+02,-3.042722747298047814e+00
1.048879025482438720e+02,-3.042728546269596546e+00
1.048870456590367581e+02,-3.042727655239968243e+00
1.048902186132315677e+02,-3.042740085806394212e+00
1.048904881771900932e+02,-3.042740757742515179e+00
1.048896533131675426e+02,-3.042746530370012525e+00
1.048866984578680643e+02,-3.042773655907938135e+00
1.048895841209166377e+02,-3.042788426247161393e+00
1.048893001820843693e+02,-3.042795526843454557e+00
1.048894434683050889e+02,-3.042797108846414744e+00
1.048900655842950584e+02,-3.042822142368914129e+00
1.048902122889724922e+02,-3.042826598925020054e+00
1.048901455228235733e+02,-3.042874272419457959e+00
1.048899983231617199e+02,-3.042861938509044961e+00
1.048909694712116902e+02,-3.042861262441772574e+00
1.048895811804492979e+02,-3.042874406208010196e+00
1.048892988549485779e+02,-3.042872902177968353e+00
1.048878887949013716e+02,-3.042887778357373119e+00
1.048881184875760653e+02,-3.042925044318774308e+00
1.048871176412029769e+02,-3.042931269871241629e+00
1.048893030696611390e+02,-3.042962177954486869e+00
1.048904282712127412e+02,-3.042945941213762939e+00
1.048898632207479693e+02,-3.042947053959862203e+00
1.048897203529715227e+02,-3.042955003713355033e+00
1.048904963181692835e+02,-3.042985498725044202e+00
1.048870529220018142e+02,-3.042972644388428627e+00
1.048900722011076425e+02,-3.042982849837214232e+00
1.048873989951509884e+02,-3.043017696415384776e+00
1.048892249035088469e+02,-3.042999849479160357e+00
1.048889463982774259e+02,-3.043000534186365957e+00
1.048906302552586993e+02,-3.042991766369732787e+00
1.048906265541120604e+02,-3.043060240614016365e+00
1.048893715802240223e+02,-3.043079162056091302e+00
1.048869743162250501e+02,-3.043094130903760242e+00
1.048904941386661278e+02,-3.043085498540629708e+00
1.048904208835495950e+02,-3.043121856725939267e+00
1.048870515398476329e+02,-3.043131197584846070e+00
1.048883221420543919e+02,-3.043126622916501933e+00
1.048882516448669264e+02,-3.043176598204675898e+00
1.048902807655954774e+02,-3.043191958160572863e+00
1.048907032204118650e+02,-3.043200647557274596e+00
1.048869803677346795e+02,-3.043263569359325071e+00
1.048902792952894032e+02,-3.043274447964004814e+00
1.048870501485316709e+02,-3.043295879655270486e+00
1.048895790690579020e+02,-3.043280025614437889e+00
1.048907710470691796e+02,-3.043316273328923849e+00
1.048903520962679323e+02,-3.043312129724246695e+00
1.048890810877380488e+02,-3.043330246251676918e+00
1.048900036481577303e+02,-3.043355106895003104e+00
1.048866905607080042e+02,-3.043340889225170987e+00
1.048874702188146131e+02,-3.043378103557748293e+00
1.048873304744347195e+02,-3.043376376338532641e+00
1.048870403130869562e+02,-3.043380455166606158e+00
1.048871898419182287e+02,-3.043380500743230410e+00
1.048904924031214705e+02,-3.043393965296893544e+00
1.048901371309077035e+02,-3.043438936586274846e+00
1.048897203087468455e+02,-3.043440196110029472e+00
1.048891558648827242e+02,-3.043453392512093458e+00
1.048877511966517488e+02,-3.043458631116915836e+00
1.048871866128773291e+02,-3.043459772765172655e+00
1.048904832808792946e+02,-3.043477490232943339e+00
1.048870191759822887e+02,-3.039952721410187575e+00
1.048875514402510163e+02,-3.039947094343534051e+00
1.048884583461424569e+02,-3.039937498288222351e+00
1.048873142722342919e+02,-3.039973536976988910e+00
1.048897825890463196e+02,-3.039983531670491068e+00
1.048899076727216624e+02,-3.039972340276735796e+00
1.048875120795052140e+02,-3.040026228360055871e+00
1.048900379210747786e+02,-3.040053606644097517e+00
1.048886721270266662e+02,-3.040068695043132152e+00
1.048897829862984139e+02,-3.040068741763776838e+00
